stage,epoch,loss,accuracy,accuracy_top5,learning_rate,epoch_time
train,1,5.876821319436817,3.9405479535454786,11.545333278175288,0.008835698965952099,2127.9488055706024
train,1,5.846680863086994,4.0833864749872575,11.845450280876731,0.008835686804112786,2103.3301317691803
train,2,4.489323419791002,14.85606482215043,33.45356226003324,0.0142625151678131,2102.7415628433228
train,3,3.7102056149002554,24.926102529959014,48.21330864750653,0.02304329563359081,2102.585032224655
train,4,3.222014176595461,32.404050369702,57.26287049229335,0.034794248134044914,2103.218843460083
train,5,2.913303059964747,37.50916156910067,62.823503883568655,0.04900177580153642,2103.3344643115997
train,6,2.7015114080655827,41.175428339943196,66.4972638227491,0.06504491265848718,2102.2372908592224
train,7,2.5568040511824868,43.762600816287026,68.9403489162615,0.08222246407097149,2102.7163269519806
train,8,2.456024566647056,45.60053451267477,70.66518260304862,0.09978365374244492,2102.299299478531
train,9,2.3835808301305437,46.956563820329436,71.86088932980634,0.11696093776470642,2103.3654370307922
train,10,2.3274840499137666,48.029960184737824,72.790354419057,0.1330035515279902,2103.498423099518
train,11,2.283677005517733,48.83188530456997,73.51235240995123,0.1472103232611358,2102.6288270950317
train,12,2.2432649924621715,49.58182656905774,74.11703548405477,0.1589603200260581,2102.8068764209747
train,13,2.210888169945537,50.19915436473153,74.67800840952039,0.16773998672728718,2102.8268609046936
train,14,2.178048304244355,50.80532046173528,75.20549623897587,0.1731655919765384,2102.6953015327454
train,15,2.152412298134157,51.31758779300435,75.626674742637,0.17499999995690688,2102.340260744095
train,16,2.123576314674391,51.8840244870497,76.07454765850197,0.17464750592888828,2102.8019649982452
train,17,2.1034300353560416,52.28358207790241,76.36990337715535,0.17359335424302816,2102.31715965271
train,18,2.0829407853680055,52.70117010506827,76.67782576354215,0.1718460323088699,2102.6732523441315
train,19,2.065531771791565,52.992310916531565,76.9432088088438,0.16941960853521867,2102.3927743434906
train,20,2.0469061272961278,53.34355318237201,77.25987322495818,0.16633361905958588,2102.7159898281097
train,21,2.0326035221556684,53.68480455709521,77.46093990869262,0.16261291045469684,2103.4493584632874
train,22,2.0167393056662766,53.98117497562769,77.71968837786174,0.1582874396784969,2102.7531518936157
train,23,2.002469172177615,54.247962989992715,77.90772007084166,0.15339203287834044,2102.534462928772
train,24,1.98629753506267,54.600219955712255,78.17926936925475,0.14796610499132967,2103.2537319660187
train,25,1.971506135447042,54.90783012675163,78.4089818111144,0.1420533423984169,2102.1745388507843
train,26,1.9590944951647644,55.111394533265376,78.57117768409583,0.13570135118735216,2102.9324526786804
train,27,1.9434494033143237,55.451006777414655,78.79316279610698,0.1289612738564566,2103.4075322151184
train,28,1.9272548452540712,55.78094034579411,79.04535474298042,0.1218873775452973,2102.631965637207
train,29,1.9129988563644302,56.02540496281905,79.26047111734847,0.11453661710758803,2102.438915014267
train,30,1.8956419484598652,56.39530209566747,79.5056382189051,0.10696817654419606,2102.732435941696
train,31,1.8769308937596274,56.797357409299494,79.79771567641065,0.09924299248836688,2102.7602548599243
train,32,1.8589911149098324,57.146023898523765,80.06809416727093,0.09142326357978331,2102.2851939201355
train,33,1.8337095843328464,57.62995768701504,80.4041939887618,0.0835719496776912,2102.609178543091
train,34,1.8110484422503652,58.03209105448392,80.74341596372682,0.07575226494513229,2102.574549674988
train,35,1.7871789437490744,58.605474540009226,81.05844124926728,0.06802716888567305,2102.921788454056
train,36,1.7572597216476094,59.21195285236039,81.50592389594799,0.06045885943050129,2102.7835643291473
train,37,1.7254844412937032,59.848013568879,81.93521999864187,0.05310827215725617,2103.3402936458588
train,38,1.6885948690917942,60.66273951795512,82.4103337035687,0.046034589672586515,2103.185489177704
train,39,1.649601182404098,61.44195097126292,82.98996149604228,0.03929476510860098,2102.94122672081
train,40,1.6045676338505912,62.35127817060539,83.60190357697319,0.03294306356973608,2103.4741671085358
train,41,1.5544506148441688,63.43747536425774,84.25591667596808,0.027030625222042737,2102.8671882152557
train,42,1.4963126115032008,64.66276449518291,85.03036684522783,0.021605053542639117,2102.8462269306183
train,43,1.4360557089318762,65.9657952476141,85.87576795218735,0.016710032044503335,2103.2029321193695
train,44,1.3652981006598972,67.49143554275126,86.73178438095893,0.01238497256251228,2102.5228288173676
train,45,1.2922625665689682,69.10285700459035,87.69059771286648,0.008664697932521191,2102.5029997825623
train,46,1.2109309953201066,70.88677744587552,88.67797874906238,0.005579161618364699,2102.351689338684
train,47,1.1374353323783075,72.54737282493227,89.5689632967443,0.003153206544178408,2102.359663963318
train,48,1.0712856379630682,74.09112161021943,90.3583998026799,0.0014063650737811914,2102.609813928604
train,49,1.0226882841203597,75.17388443505023,90.90571330669616,0.0003527017475665377,2102.224450111389
train,50,1.0027772546648146,75.65165197043008,91.12082968106422,7.000430931148988e-07,2102.9566605091095
